id_espe,Especialidad,Horario,Lunes 22,Martes 23,Miercoles 24,Jueves 25,Viernes 26
1,odontologia,10:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,11:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,12:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,13:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,14:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,15:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,16:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,17:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,10:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,10:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,10:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,11:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,11:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,11:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,12:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,12:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,12:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,13:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,13:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,13:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,14:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,14:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,14:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,15:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,15:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,15:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,16:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,16:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,16:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,17:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,10:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,10:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,11:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,11:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,12:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,12:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,13:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,13:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,14:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,14:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,15:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,15:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,16:00:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,16:30:00,disponible,disponible,disponible,nodis,disponible
3,Ginecologia,17:00:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,10:00:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,10:25:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,10:50:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,11:15:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,11:40:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,12:05:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,12:30:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,12:55:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,13:20:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,13:45:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,14:10:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,14:35:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,15:00:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,15:25:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,15:50:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,16:15:00,disponible,disponible,disponible,nodis,disponible
4,Clinico,16:40:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,10:00:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,10:40:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,11:20:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,12:00:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,12:40:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,13:20:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,14:00:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,14:40:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,15:20:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,16:00:00,disponible,disponible,disponible,nodis,disponible
5,Pediatria,16:40:00,disponible,disponible,disponible,nodis,disponible
