id_espe,Especialidad,Horario,Lunes 22,Martes 23,Miercoles 24,Jueves 25,Viernes 26
1,odontologia,10:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,11:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,12:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,13:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,14:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,15:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,16:00:00,disponible,disponible,disponible,nodis,disponible
1,odontologia,17:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,10:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,10:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,10:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,11:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,11:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,11:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,12:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,12:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,12:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,13:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,13:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,13:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,14:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,14:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,14:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,15:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,15:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,15:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,16:00:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,16:20:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,16:40:00,disponible,disponible,disponible,nodis,disponible
2,Oftalmologia,17:00:00,disponible,disponible,disponible,nodis,disponible
